word,frequency
bass,312718
structures,312292
architecture,311938
ran,311602
fight,311576
retired,311439
starting,310807
subsequently,310654
chairman,310117
nine,309076
hours,308775
temple,308501
communities,307918
ministry,305645
parish,305194
stars,305190
highest,305163
already,305006
seat,304647
older,304094
becoming,304064
increased,303780
entered,303675
got,303652
creek,303051
studied,303040
terms,303001
majority,302877
champions,302141
rest,302118
friends,301540
going,300881
wide,300111
thought,299463
note,299358
meeting,299210
caused,298892
status,298695
polish,298651
give,298446
voice,298070
stories,297766
musicians,297515
fall,297200
friend,296865
hand,296428
finally,296152
train,295787
care,295500
your,295168
operated,295106
upper,295007
computer,294794
super,294023
commander,293842
evidence,293794
politics,292739
husband,292248
mayor,292072
word,292016
fellow,291749
era,291621
famous,291449
episodes,291153
camp,291097
earth,291049
relationship,290894
minutes,290383
mostly,289899
representatives,289426
jack,289343
serving,286893
competed,286838
page,286467
forced,286463
academic,286453
flight,286426
particularly,286295
create,285630
material,285445
remains,285267
territory,285141
sport,284474
girl,284337
certain,284193
marriage,283556
need,283476
workers,283451
senate,283448
administrative,283444
contemporary,283300
entire,282899
racing,282646
income,282535
branch,282389
takes,281943
response,281791
girls,281098
passed,280975
frank,280805
fact,280648
length,280525
marine,280423
oil,280277
supported,280208
fifth,279994
critical,279810
hotel,279707
weeks,279506
appearances,279506
global,279013
variety,278711
presented,278581
oxford,278453
recent,277934
broadcast,277552
association_football,277115
distribution,277080
month,276981
turn,276955
shown,276802
raised,276624
victoria,276536
volume,276489
spring,275692
squadron,274947
claimed,274877
featuring,274831
articles,274637
piano,274607
naval,274484
deal,274074
editor,273837
always,273740
republican,273030
particular,273003
leaving,272988
parents,272634
border,272510
opera,272067
appears,271977
latin,271761
brothers,271615
hong,271482
tom,271457
golden,271100
earned,270859
beach,270735
greater,270696
experience,270529
plot,270449
referred,270375
products,270237
rate,270098
software,269815
descent,269690
forms,269539
heavy,268819
dead,268463
sciences,268035
effect,268022
relations,267984
judge,267704
failed,267521
